CL_ID,SRC_STM_ID,CL_SCM_ID,EFF_DT,END_DT,CL_CODE,CL_NM,CL_SCM_CODE
E29690F9521831EFDFB05DD9E925FE4C,8EEDAFE4CBBC29D48A985585370741A4,22805FA6B0EA40776E8434E5D3276CF8,00:00.0,00:00.0,BAN NTE CK- SINH HOAT PHI,BAN NTE CK- SINH HOAT PHI,FWC_TXN_PPS
736993F958D74A4A1D2932AB00B16D3A,8EEDAFE4CBBC29D48A985585370741A4,22805FA6B0EA40776E8434E5D3276CF8,00:00.0,00:00.0,BAN NTE CK- TRO CAP,BAN NTE CK- TRO CAP,FWC_TXN_PPS
AD92495CE7EF120B4526FB8A71064A1B,8EEDAFE4CBBC29D48A985585370741A4,22805FA6B0EA40776E8434E5D3276CF8,00:00.0,00:00.0,BAN NTE MAT - TRO CAP,BAN NTE MAT - TRO CAP,FWC_TXN_PPS
613612B70463A0E2A2F93AD5ADAC28E4,16805D9E51770830B034E7FB44609AC7,81831229585DB4C48BB78FAEF0FF8B09,00:00.0,00:00.0,4,4,EI_GRP_DBT
FDB475E01261AF3E3DD209E9BDB70D23,7764F1597D4DC50FBF6F456C8B762567,FA515964EEFC3E873D6E069528BB4E50,00:00.0,00:00.0,KH2,KH2,PYMT_MTHS
603DE977AFFD287A544BD3B32AB732D2,1B84138E1C2A1D5E4AE9CDF377FF0D71,016D519AA2C1CD115D7EE0FB82DBCE7C,00:00.0,00:00.0,60,/BANK/FX/FX TRADING/FXFWD/OTHFCY-FWD/OTHFCY-FWDDLR/OTHFCY-FWDDLR7,TDG_BOOK
86DFC7C859A8AE17013E95B928CFA2ED,1B84138E1C2A1D5E4AE9CDF377FF0D71,016D519AA2C1CD115D7EE0FB82DBCE7C,00:00.0,00:00.0,340,/BANK/MM/MM INTERBANK/MM BILLS/MM BILLS TRADING/MM BILLS TRADING HTM/MMBLTRDDEPL1/MMBLTRDTL1/MMBLTRDDLR1,TDG_BOOK
98AE6B41454E294BC85437212DE63F8D,1B84138E1C2A1D5E4AE9CDF377FF0D71,016D519AA2C1CD115D7EE0FB82DBCE7C,00:00.0,00:00.0,39,/BANK/FX/FX TRADING/FXSPOT/OTHFCY-SPOT/OTHFCY-SPOTDEPL/OTHFCY-SPOTDEPL2,TDG_BOOK
0BC2110CC73F95FA351CDCA01AE1DF27,899DAD7FAEE145CB2CB2DA9AA8E06694,BBA8ADBD931D654607F14673EA0D9C62,00:00.0,00:00.0,5,FIN_INST_BND,DBT_IMT_TP
BE1F92929FA6F36D533514A1A8A5B806,899DAD7FAEE145CB2CB2DA9AA8E06694,BBA8ADBD931D654607F14673EA0D9C62,00:00.0,00:00.0,11,EQT_BANK,DBT_IMT_TP
